title,year,distributor,worldwide_gross,worldwide_profit_gross,worldwide_adj,worldwide_profit_adj,worldwide_bits,production_budget,production_budget_adj
25th Hour,2002,40 Acres & A Mule Filmworks,13060843,-1939157,18692582.634656206,-2775307.2649347386,2251869.4827586208,15000000,21467889.899590947
Antwone Fisher,2002,Fox Searchlight Pictures,23367586,10867586,33443517.56448152,15553609.314822398,4028894.1379310344,12500000,17889908.24965912
Gangs of New York,2002,Miramax Films,193772504,93772504,277325785.4293364,134206519.43206343,33409052.413793106,100000000,143119265.99727297
Two Weeks Notice,2002,Village Roadshow Pictures,93354918,33354918,133608873.41395606,47737313.81559228,16095675.51724138,60000000,85871559.59836379
Narc,2002,Paramount Pictures,12633747,6133747,18081325.974352494,8778573.684529752,2178232.2413793104,6500000,9302752.289822742
Body of Evidence,1993,Metro-Goldwyn-Mayer (MGM),13273595,-16726405,23664923.652815558,-29820790.623118486,3152872.921615202,30000000,53485714.27593404
Catch Me If You Can,2002,Kemp Company,352114312,300114312,503943418.8057476,429521400.4871657,60709364.137931034,52000000,74422018.31858194
Chicago,2002,Miramax Films,306776732,261776732,439056607.08882123,374652937.3900484,52892540,45000000,64403669.69877283
The Hours,2002,Paramount Pictures,41597830,16597830,59534508.96679341,23754692.467475172,7172039.655172414,25000000,35779816.49931824
The Pianist,2002,Bac Films,120072577,85072577,171846990.8664104,121755247.76736486,20702168.448275864,35000000,50091743.09904554
Confessions of a Dangerous Mind,2002,Miramax Films,33013805,3013805,47249115.393771,4313335.594589112,5692035.344827587,30000000,42935779.79918189
Just Married,2003,Twentieth Century Fox Film Corporation,101564935,83564935,142099819.3212198,116915962.82801221,16843272.8026534,18000000,25183856.493207585
A Guy Thing,2003,Metro-Goldwyn-Mayer (MGM),17432163,-2567837,24389393.964344613,-3592668.805886038,2890905.9701492535,20000000,27982062.77023065
Biker Boyz,2003,DreamWorks Pictures,23510601,-489399,32893755.647392374,-684719.6768844055,3898938.805970149,24000000,33578475.32427678
Final Destination 2,2003,New Line Cinema,90426405,64426405,126515867.03981493,90139185.4385151,14996087.064676616,26000000,36376681.601299845
Firefox,1982,Malpaso Productions,70687344,52687344,188499584,140499584,24043314.285714287,18000000,48000000
How to Lose a Guy in 10 Days,2003,Paramount Pictures,177371441,127371441,248160939.78541312,178205782.8598365,29414832.669983417,50000000,69955156.92557663
Shanghai Knights,2003,Spyglass Entertainment,88323487,38323487,123573667.86598255,53618510.94040592,14647344.444444444,50000000,69955156.92557663
Daredevil,2003,Twentieth Century Fox Film Corporation,179179718,101179718,250690905.81141135,141560861.0075118,29714712.769485902,78000000,109130044.80389954
